Calibration Results
Timestamp,2025-11-18T10:49:51.445747
Target X,0.2
Target Y,-0.1
Target Z,-0.1
Home X,0.2
Home Y,0.0
Home Z,0.1
Iterations,20

TARGET POSITION MEASUREMENTS
Iteration,Move Success,Pose Success,Actual X,Actual Y,Actual Z,Error X,Error Y,Error Z,Euclidean Error
1,True,True,0.20937000215053558,-0.0992949977517128,-0.11127299815416336,-0.009370002150535572,-0.0007050022482872065,0.011272998154163355,0.014675641582394334
2,True,True,0.2098180055618286,-0.10038600116968155,-0.1106019988656044,-0.009818005561828602,0.0003860011696815435,0.010601998865604395,0.014454916466772466
3,True,True,0.21040700376033783,-0.10005500167608261,-0.11039400100708008,-0.010407003760337818,5.500167608260553e-05,0.010394001007080073,0.014708637237597471
4,True,True,0.21006399393081665,-0.099761001765728,-0.1105789989233017,-0.01006399393081664,-0.00023899823427200872,0.010578998923301691,0.014603297991026467
5,True,True,0.21025100350379944,-0.1002030000090599,-0.11054400354623795,-0.010251003503799427,0.00020300000905990045,0.01054400354623794,0.01470715107087925
6,True,True,0.20942899584770203,-0.09973599761724472,-0.11079400032758713,-0.009428995847702015,-0.0002640023827552851,0.010794000327587122,0.014334786466007549
7,True,True,0.20994700491428375,-0.09968800097703934,-0.11047700047492981,-0.009947004914283741,-0.0003119990229606684,0.010477000474929804,0.014450183012916918
8,True,True,0.20974700152873993,-0.0994580015540123,-0.11092700064182281,-0.009747001528739918,-0.000541998445987707,0.01092700064182281,0.014652547360206943
9,True,True,0.21018299460411072,-0.09993799775838852,-0.11072299629449844,-0.010182994604110707,-6.200224161148626e-05,0.010722996294498438,0.014787828539617973
10,True,True,0.21008199453353882,-0.10032700002193451,-0.1108269989490509,-0.010081994533538807,0.0003270000219345037,0.010826998949050898,0.014797886640713288
11,True,True,0.21027199923992157,-0.09964600205421448,-0.11045999825000763,-0.010271999239921559,-0.000353997945785528,0.010459998250007624,0.01466461204126219
12,True,True,0.21044200658798218,-0.09983000159263611,-0.11063600331544876,-0.010442006587982167,-0.00016999840736389715,0.010636003315448755,0.014906004413262668
13,True,True,0.2101989984512329,-0.10028599947690964,-0.11043400317430496,-0.010198998451232899,0.0002859994769096319,0.010434003174304957,0.014593484414301115
14,True,True,0.21014800667762756,-0.09976799786090851,-0.11093100160360336,-0.010148006677627552,-0.00023200213909149725,0.010931001603603357,0.014917193455194431
15,True,True,0.21000300347805023,-0.10042700171470642,-0.11046099662780762,-0.01000300347805022,0.00042700171470641535,0.010460996627807612,0.014480153987207776
16,True,True,0.20950399339199066,-0.10023900121450424,-0.11056499928236008,-0.00950399339199065,0.0002390012145042364,0.010564999282360071,0.014212748566403519
17,True,True,0.20989499986171722,-0.10040800273418427,-0.11052999645471573,-0.009894999861717213,0.0004080027341842596,0.010529996454715723,0.014455390476594231
18,True,True,0.20975400507450104,-0.09985999763011932,-0.11058499664068222,-0.009754005074501026,-0.00014000236988068182,0.010584996640682215,0.014394525679584505
19,True,True,0.20953799784183502,-0.0998539999127388,-0.11115799844264984,-0.009537997841835011,-0.0001460000872612055,0.011157998442649836,0.01467977002893798
20,True,True,0.21039000153541565,-0.09977000206708908,-0.11063999682664871,-0.010390001535415638,-0.00022999793291092474,0.010639996826648707,0.014873283545544918

HOME POSITION MEASUREMENTS
Iteration,Move Success,Pose Success,Actual X,Actual Y,Actual Z,Error X,Error Y,Error Z,Euclidean Error
1,True,True,0.2101230025291443,-4.199999966658652e-05,0.08865199983119965,-0.010123002529144276,4.199999966658652e-05,0.01134800016880036,0.01520703955528907
2,True,True,0.21023400127887726,-0.0003420000139158219,0.08895000070333481,-0.010234001278877247,0.0003420000139158219,0.011049999296665197,0.015065000187251274
3,True,True,0.20986400544643402,-0.00018699999782256782,0.08860799670219421,-0.00986400544643401,0.00018699999782256782,0.011392003297805792,0.015070212725229976
4,True,True,0.20989100635051727,-0.00033599999733269215,0.08858399838209152,-0.009891006350517262,0.00033599999733269215,0.011416001617908483,0.015108606671836736
5,True,True,0.20972999930381775,0.00039599998854100704,0.08880600333213806,-0.009729999303817738,-0.00039599998854100704,0.011193996667861944,0.014836956016761741
6,True,True,0.21005600690841675,-0.0003809999907389283,0.08852799981832504,-0.010056006908416737,0.0003809999907389283,0.011472000181674963,0.015260249804751512
7,True,True,0.2100609987974167,-0.00039400000241585076,0.0886560007929802,-0.010060998797416676,0.00039400000241585076,0.011343999207019811,0.015167901991125521
8,True,True,0.2101919949054718,-0.00015199999324977398,0.08884000033140182,-0.01019199490547179,0.00015199999324977398,0.01115999966859818,0.015114412219938372
9,True,True,0.21006500720977783,-0.00027200000477023423,0.08887600153684616,-0.010065007209777821,0.00027200000477023423,0.011123998463153845,0.015004055983090826
10,True,True,0.21028900146484375,-0.0003110000106971711,0.08898799866437912,-0.010289001464843739,0.0003110000106971711,0.011012001335620886,0.01507396582077611
11,True,True,0.20965400338172913,-0.00014400000509340316,0.08871699869632721,-0.009654003381729115,0.00014400000509340316,0.011283001303672796,0.014850139248996492
12,True,True,0.21000799536705017,-0.00012199999764561653,0.0884300023317337,-0.01000799536705016,0.00012199999764561653,0.011569997668266302,0.015298356163654011
13,True,True,0.2096019983291626,-0.00025400001322850585,0.08891700208187103,-0.009601998329162587,0.00025400001322850585,0.011082997918128973,0.014666142327592908
14,True,True,0.20980000495910645,-0.00038899999344721437,0.08921000361442566,-0.009800004959106434,0.00038899999344721437,0.010789996385574346,0.014581338765494755
