Multi-Target Calibration Results
Mode,multi_target
Timestamp,2025-11-21T12:24:54.734169
Number of Targets,9
Number of Loops,4
Settling Time (s),1.5
Home X,0.2
Home Y,0.0
Home Z,0.1

TARGET DEFINITIONS
Index,Name,X,Y,Z,Description
1,1,0.2,0.2,0.4,1
2,2,0.2,0.0,0.4,2
3,3,0.2,-0.2,0.4,3
4,4,0.0,0.2,0.4,4
5,5,0.0,0.0,0.4,5
6,6,0.0,-0.2,0.4,6
7,7,-0.2,0.2,0.4,7
8,8,-0.2,0.0,0.4,8
9,9,-0.2,-0.2,0.4,9

ALL MEASUREMENTS
Measurement #,Loop,Target Index,Target Name,Target X,Target Y,Target Z,Actual X,Actual Y,Actual Z,Error X,Error Y,Error Z,Euclidean Error
1,1,1,1,0.2,0.2,0.4,0.20970000326633453,0.19984400272369385,0.3893449902534485,-0.009700003266334523,0.00015599727630616345,0.010655009746551536,0.014409844940741854
2,1,2,2,0.2,0.0,0.4,0.21046799421310425,-0.0002460000105202198,0.388698011636734,-0.010467994213104237,0.0002460000105202198,0.011301988363266013,0.015406958162277202
3,1,3,3,0.2,-0.2,0.4,0.2099509984254837,-0.2005070000886917,0.3887830078601837,-0.009950998425483693,0.0005070000886917003,0.011216992139816306,0.01500334400787415
4,1,4,4,0.0,0.2,0.4,0.010375999845564365,0.20009900629520416,0.3893570005893707,-0.010375999845564365,-9.90062952041515e-05,0.010642999410629295,0.014864205713602637
5,1,5,5,0.0,0.0,0.4,0.00901699997484684,-1.9999999949504854e-06,0.38945600390434265,-0.00901699997484684,1.9999999949504854e-06,0.01054399609565737,0.013873793504720537
6,1,6,6,0.0,-0.2,0.4,0.010022000409662724,-0.19976000487804413,0.38908299803733826,-0.010022000409662724,-0.00023999512195588268,0.010917001962661765,0.014821572849148071
7,1,7,7,-0.2,0.2,0.4,-0.19017599523067474,0.2006790041923523,0.38861000537872314,-0.009824004769325267,-0.0006790041923522838,0.011389994621276878,0.01505669598131256
8,1,8,8,-0.2,0.0,0.4,-0.19088800251483917,0.0003859999997075647,0.38862699270248413,-0.009111997485160839,-0.0003859999997075647,0.011373007297515891,0.014578161377852195
9,1,9,9,-0.2,-0.2,0.4,-0.18966299295425415,-0.19992800056934357,0.38926199078559875,-0.01033700704574586,-7.199943065644421e-05,0.010738009214401267,0.014905158183339784
10,2,1,1,0.2,0.2,0.4,0.2102770060300827,0.19953200221061707,0.38926300406455994,-0.010277006030082692,0.00046799778938294567,0.010736995935440086,0.014870069152188912
